"contrast","cellline","time","estimate","SE","df","t.ratio","p.value","lipid","p_adj"
"Control - Migration","HCC1143","0",-0.182689575135141,0.443444530319594,70.1055690697588,-0.411978415887721,0.681612220304326,"X11_12_DiHETrE",0.999999999998754
"Control - Migration","HCC38","0",0.156503056795087,0.443444530319593,70.1055690697575,0.352925892855853,0.725202952030139,"X11_12_DiHETrE",0.956523789918559
"Control - Migration","HCC1143","12",-0.159171856643948,0.443444530319593,70.1055690697578,-0.358944232617395,0.720715601884421,"X11_12_DiHETrE",0.999999999999906
"Control - Migration","HCC38","12",-0.749214111315811,0.443444530319593,70.1055690697575,-1.68953287297477,0.0955602454818177,"X11_12_DiHETrE",0.863109900342244
"Control - Migration","HCC1143","18",0.00284643979117136,0.473782918768081,70.4622883177611,0.00600789871988758,0.995223396520146,"X11_12_DiHETrE",0.99999999999993
"Control - Migration","HCC38","18",0.393792706373897,0.443444530319593,70.1055690697578,0.888031488606001,0.377560508164104,"X11_12_DiHETrE",0.827591680469624
"Control - Migration","HCC1143","22",-0.444379012141509,0.443444530319593,70.1055690697575,-1.00210732517378,0.319738165059316,"X11_12_DiHETrE",0.999999999999908
"Control - Migration","HCC38","22",0.02712603970723,0.443444530319593,70.1055690697578,0.0611712127505104,0.95139691345378,"X11_12_DiHETrE",0.999999999999988
"Control - Migration","HCC1143","0",-0.0951053650826158,0.486885949178562,70.4642062720291,-0.195333969368125,0.845693666346557,"X12_13_DiHODE",0.999999999998754
"Control - Migration","HCC38","0",-0.251238051083698,0.486885949178562,70.4642062720317,-0.516010066644084,0.607462838366551,"X12_13_DiHODE",0.944942193014634
"Control - Migration","HCC1143","12",0.144591263181625,0.486885949178561,70.4642062720314,0.296971525725007,0.767361909911284,"X12_13_DiHODE",0.999999999999906
"Control - Migration","HCC38","12",0.0211084211139864,0.486885949178561,70.464206272031,0.0433539336051882,0.965542018915052,"X12_13_DiHODE",0.999999999999991
"Control - Migration","HCC1143","18",-0.00452232426555699,0.520391069196543,70.6817496715414,-0.00869024188393398,0.993090758983575,"X12_13_DiHODE",0.99999999999993
"Control - Migration","HCC38","18",0.0469318401617056,0.486885949178561,70.4642062720314,0.0963918557125865,0.923482988679326,"X12_13_DiHODE",0.999999999999992
"Control - Migration","HCC1143","22",-1.56515976835385,0.486885949178561,70.4642062720314,-3.21463326471934,0.00197190733909368,"X12_13_DiHODE",0.0828201082419345
"Control - Migration","HCC38","22",0.129536268041272,0.486885949178561,70.4642062720314,0.266050536598593,0.790977216166843,"X12_13_DiHODE",0.989440426716571
"Control - Migration","HCC1143","0",0.0644018179714834,0.0599112826714309,70.324843937278,1.07495308228802,0.286070063761312,"X12_13_DiHOME",0.999999999998754
"Control - Migration","HCC38","0",0.0316703498143542,0.0599112826714309,70.3248439372757,0.528620793983709,0.598732952082183,"X12_13_DiHOME",0.944942193014634
"Control - Migration","HCC1143","12",-0.0566821690844545,0.0599112826714309,70.3248439372754,-0.946101745063852,0.347336219547304,"X12_13_DiHOME",0.999999999999906
"Control - Migration","HCC38","12",-0.0623840558602112,0.0599112826714309,70.3248439372751,-1.04127391500432,0.301315041631755,"X12_13_DiHOME",0.999999999999991
"Control - Migration","HCC1143","18",0.0373434524775204,0.06402450608055,70.5969649310897,0.583268107223477,0.561571556574746,"X12_13_DiHOME",0.99999999999993
"Control - Migration","HCC38","18",0.0525856425815624,0.0599112826714309,70.3248439372751,0.877725200275812,0.383081706254645,"X12_13_DiHOME",0.827591680469624
"Control - Migration","HCC1143","22",-0.0128903796444719,0.0599112826714308,70.3248439372754,-0.215157797825263,0.830267047510671,"X12_13_DiHOME",0.999999999999908
"Control - Migration","HCC38","22",0.0501436418958079,0.0599112826714308,70.3248439372754,0.836964919793301,0.405447513846042,"X12_13_DiHOME",0.946044198974098
"Control - Migration","HCC1143","0",0.129703526436177,0.728146483032617,70.6252449265805,0.178128342934491,0.859132135125299,"X12_HHTrE",0.999999999998754
"Control - Migration","HCC38","0",0.273573881809027,0.728146483032618,70.6252449265818,0.375712700924729,0.708256642890835,"X12_HHTrE",0.956523789918559
"Control - Migration","HCC1143","12",-0.139682025590063,0.728146483032617,70.6252449265808,-0.191832315124711,0.848424038708109,"X12_HHTrE",0.999999999999906
"Control - Migration","HCC38","12",-0.0370745610121707,0.728146483032618,70.6252449265808,-0.0509163497676469,0.959535909561571,"X12_HHTrE",0.999999999999991
"Control - Migration","HCC1143","18",0.0896845303075628,0.778396164328111,70.7788495050475,0.115217076364933,0.908599313479489,"X12_HHTrE",0.99999999999993
"Control - Migration","HCC38","18",-0.220378259375405,0.728146483032618,70.6252449265811,-0.302656490844484,0.763041279285732,"X12_HHTrE",0.999999999999992
"Control - Migration","HCC1143","22",-0.328552468613533,0.728146483032617,70.6252449265808,-0.451217545191131,0.653215225392885,"X12_HHTrE",0.999999999999908
"Control - Migration","HCC38","22",-1.50359197344031,0.728146483032617,70.6252449265814,-2.06495809356667,0.0425995567791569,"X12_HHTrE",0.298196897454098
"Control - Migration","HCC1143","0",0.173500792257659,0.205685386527866,71.0000000000008,0.843525129259262,0.401767814816582,"X14_HDoHE",0.999999999998754
"Control - Migration","HCC38","0",-0.558174687440409,0.205685386527866,71.0000000000005,-2.71373040575631,0.00834379996522493,"X14_HDoHE",0.17620478418419
"Control - Migration","HCC1143","12",-0.0253877563136328,0.205685386527866,71.0000000000001,-0.123430044021106,0.902115317369692,"X14_HDoHE",0.999999999999906
"Control - Migration","HCC38","12",0.0310477637204397,0.205685386527866,70.9999999999998,0.150947834673871,0.880444916220522,"X14_HDoHE",0.999999999999991
"Control - Migration","HCC1143","18",0.196365323522514,0.220011827667936,70.9999999999998,0.892521668511787,0.375128465347377,"X14_HDoHE",0.99999999999993
"Control - Migration","HCC38","18",-0.00670228320738025,0.205685386527866,70.9999999999998,-0.0325851209972675,0.974096865974126,"X14_HDoHE",0.999999999999992
"Control - Migration","HCC1143","22",0.329889007171726,0.205685386527866,70.9999999999998,1.60385243084361,0.113186148001994,"X14_HDoHE",0.950763643216751
"Control - Migration","HCC38","22",-0.0463152348605075,0.205685386527866,70.9999999999998,-0.225175135882746,0.822489883843085,"X14_HDoHE",0.989440426716571
"Control - Migration","HCC1143","0",0.281587503798589,0.336118888273716,70.5349203070293,0.837761618351183,0.404994423841227,"X19_20_DiHDPA",0.999999999998754
"Control - Migration","HCC38","0",0.819549285620974,0.336118888273716,70.534920307029,2.43827203472594,0.0172789037984066,"X19_20_DiHDPA",0.181428489883269
"Control - Migration","HCC1143","12",-0.151319364770131,0.336118888273716,70.534920307028,-0.450195957588986,0.653949824532518,"X19_20_DiHDPA",0.999999999999906
"Control - Migration","HCC38","12",-0.207906761895704,0.336118888273716,70.534920307028,-0.618551260131495,0.538204465072388,"X19_20_DiHDPA",0.999999999999991
"Control - Migration","HCC1143","18",-0.0498373394182147,0.359277216997601,70.7245086831716,-0.13871555740354,0.890069147285756,"X19_20_DiHDPA",0.99999999999993
"Control - Migration","HCC38","18",-0.039943848178511,0.336118888273716,70.534920307028,-0.118838451429076,0.905741149129483,"X19_20_DiHDPA",0.999999999999992
"Control - Migration","HCC1143","22",0.0561408991032323,0.336118888273716,70.5349203070283,0.167026909411632,0.867826795953606,"X19_20_DiHDPA",0.999999999999908
"Control - Migration","HCC38","22",0.472652325288991,0.336118888273716,70.534920307028,1.40620578544842,0.16405331588622,"X19_20_DiHDPA",0.689023926722124
"Control - Migration","HCC1143","0",-0.386165416690513,0.812894183567762,71.0000000000008,-0.475050042793574,0.636209426877995,"X5_6_DiHETrE",0.999999999998754
"Control - Migration","HCC38","0",0.0691729165464212,0.812894183567763,71.0000000000005,0.0850946137205999,0.932425670713263,"X5_6_DiHETrE",0.999999999999446
"Control - Migration","HCC1143","12",-0.0974937501201796,0.812894183567763,71.0000000000001,-0.119934121920129,0.904874067016584,"X5_6_DiHETrE",0.999999999999906
"Control - Migration","HCC38","12",1.3209022736974,0.812894183567764,71.0000000000001,1.62493753848749,0.108607190530334,"X5_6_DiHETrE",0.863109900342244
"Control - Migration","HCC1143","18",0.336762984801993,0.86951405759275,71.0000000000001,0.387300218853645,0.699692524650583,"X5_6_DiHETrE",0.99999999999993
"Control - Migration","HCC38","18",-0.895621393521497,0.812894183567764,71.0000000000001,-1.10176873155943,0.274283196138103,"X5_6_DiHETrE",0.827591680469624
"Control - Migration","HCC1143","22",-1.06887107471045,0.812894183567764,70.9999999999998,-1.3148957100655,0.192776227473746,"X5_6_DiHETrE",0.999999999999908
"Control - Migration","HCC38","22",2.0492898690266,0.812894183567764,71.0000000000001,2.52097986484826,0.0139504418471539,"X5_6_DiHETrE",0.214487564696309
"Control - Migration","HCC1143","0",-0.0545769654009217,0.502068004661459,70.850646272353,-0.108704328684961,0.913744287128255,"X8iso_PGA1",0.999999999998754
