"contrast","cellline","condition","estimate","SE","df","t.ratio","p.value","lipid","p_adj"
"time0 - time12","HCC1143","Control",-0.200000000000125,0.447693637352167,53.0411025088342,-0.446734068375423,0.969972069113589,"X11_12_DiHETrE",1
"time0 - time18","HCC1143","Control",-0.298547999111749,0.477762279352034,55.6183497650737,-0.624888175593636,0.923653778746757,"X11_12_DiHETrE",1
"time0 - time22","HCC1143","Control",0.227665984209665,0.447693637352166,53.0411025088338,0.508530756783075,0.956707956602525,"X11_12_DiHETrE",1
"time12 - time18","HCC1143","Control",-0.0985479991116247,0.477762279352033,55.6183497650739,-0.206269945055689,0.996858675284413,"X11_12_DiHETrE",1
"time12 - time22","HCC1143","Control",0.427665984209789,0.447693637352166,53.0411025088349,0.9552648251585,0.775155092559344,"X11_12_DiHETrE",1
"time18 - time22","HCC1143","Control",0.526213983321414,0.477762279352033,55.6183497650737,1.10141383291099,0.690157600717968,"X11_12_DiHETrE",1
"time0 - time12","HCC38","Control",0.340259548105652,0.447693637352166,53.0411025088349,0.760027661143632,0.8719567055913,"X11_12_DiHETrE",1
"time0 - time18","HCC38","Control",-0.528771237954933,0.447693637352166,53.0411025088349,-1.18110063185685,0.641308021871358,"X11_12_DiHETrE",1
"time0 - time22","HCC38","Control",-0.328771237954934,0.447693637352166,53.0411025088349,-0.734366563481703,0.882824510734779,"X11_12_DiHETrE",1
"time12 - time18","HCC38","Control",-0.869030786060585,0.447693637352166,53.0411025088349,-1.94112829300048,0.22357787231523,"X11_12_DiHETrE",0.526557231994748
"time12 - time22","HCC38","Control",-0.669030786060586,0.447693637352165,53.0411025088349,-1.49439422462534,0.448025197773063,"X11_12_DiHETrE",0.830164337050087
"time18 - time22","HCC38","Control",0.2,0.447693637352166,53.0411025088349,0.446734068375145,0.969972069113642,"X11_12_DiHETrE",1
"time0 - time12","HCC1143","Migration",-0.176482281508931,0.408686506715531,53.0411025088347,-0.431828011468392,0.972740374929641,"X11_12_DiHETrE",1
"time0 - time18","HCC1143","Migration",-0.113011984185437,0.408686506715531,53.0411025088349,-0.27652487255739,0.99252749328223,"X11_12_DiHETrE",1
"time0 - time22","HCC1143","Migration",-0.0340234527967033,0.408686506715531,53.0411025088351,-0.0832507367814459,0.999790423733653,"X11_12_DiHETrE",1
"time12 - time18","HCC1143","Migration",0.0634702973234942,0.408686506715531,53.0411025088349,0.155303138911002,0.998648656986122,"X11_12_DiHETrE",1
"time12 - time22","HCC1143","Migration",0.142458828712228,0.408686506715531,53.0411025088349,0.348577274686946,0.985294189390501,"X11_12_DiHETrE",1
"time18 - time22","HCC1143","Migration",0.0789885313887339,0.408686506715531,53.0411025088349,0.193274135775944,0.997408950201587,"X11_12_DiHETrE",1
"time0 - time12","HCC38","Migration",-0.565457620005246,0.408686506715531,53.0411025088349,-1.3835974780514,0.515046688956666,"X11_12_DiHETrE",1
"time0 - time18","HCC38","Migration",-0.291481588376123,0.408686506715531,53.0411025088347,-0.713215590890577,0.891419423044214,"X11_12_DiHETrE",1
"time0 - time22","HCC38","Migration",-0.458148255042791,0.408686506715531,53.0411025088349,-1.12102613498245,0.678309082019052,"X11_12_DiHETrE",1
"time12 - time18","HCC38","Migration",0.273976031629123,0.408686506715531,53.0411025088351,0.670381887160825,0.907793097759038,"X11_12_DiHETrE",1
"time12 - time22","HCC38","Migration",0.107309364962455,0.408686506715531,53.0411025088349,0.262571343068953,0.993583614288829,"X11_12_DiHETrE",1
"time18 - time22","HCC38","Migration",-0.166666666666667,0.408686506715531,53.0411025088345,-0.407810544091872,0.976859614144563,"X11_12_DiHETrE",1
"time0 - time12","HCC1143","Control",-0.159216775836932,0.495475355139249,53.0448061948798,-0.321341463678219,0.988396330520865,"X12_13_DiHODE",1
"time0 - time18","HCC1143","Control",-0.0275739167603562,0.528436150298575,55.7081125860148,-0.0521802241288308,0.999948342469681,"X12_13_DiHODE",1
"time0 - time22","HCC1143","Control",1.49771388873504,0.495475355139249,53.0448061948793,3.02278180579562,0.0195424790064425,"X12_13_DiHODE",0.0849087018900603
